id,name,code,slug,hex_code,rgb_value,cmyk_value,undertone,lrv,opacity_strength,description,main_image,is_active,created_at,updated_at,collection_id
1,Ash Grey,00A01,ash-grey-00a01,#BFB8B0,"191, 184, 176","0, 3, 7, 25",warm,72.51,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 00A01.,,1,2026-01-07 10:32:52.019550,2026-01-07 10:32:52.019643,1
2,Dove Grey,00A05,dove-grey-00a05,#9CA0A4,"156, 160, 164","4, 2, 0, 35",cool,62.52,medium,A premium cool toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 00A05.,,1,2026-01-07 10:32:52.103081,2026-01-07 10:32:52.103118,1
3,Granite,00A09,granite-00a09,#6E7273,"110, 114, 115","4, 0, 0, 54",cool,44.4,strong,A premium cool toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 00A09.,,1,2026-01-07 10:32:52.189628,2026-01-07 10:32:52.189677,1
4,Flannel Grey,00A13,flannel-grey-00a13,#2F3538,"47, 53, 56","16, 5, 0, 78",neutral,20.37,strong,A premium neutral toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 00A13.,,1,2026-01-07 10:32:52.241387,2026-01-07 10:32:52.241427,1
5,Sabble,04B21,sabble-04b21,#C69F82,"198, 159, 130","0, 19, 34, 22",warm,64.78,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 04B21.,,1,2026-01-07 10:32:52.326231,2026-01-07 10:32:52.326270,1
6,Orchid Pink,04C33,orchid-pink-04c33,#EBC8B6,"235, 200, 182","0, 14, 22, 7",warm,80.84,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 04C33.,,1,2026-01-07 10:32:52.394587,2026-01-07 10:32:52.394626,1
7,Rose Vale,04C37,rose-vale-04c37,#DA8F7F,"218, 143, 127","0, 34, 41, 14",warm,61.88,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 04C37.,,1,2026-01-07 10:32:52.497588,2026-01-07 10:32:52.497640,1
8,Brick Red,04C39,brick-red-04c39,#8D3F37,"141, 63, 55","0, 55, 60, 44",warm,30.98,strong,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 04C39.,,1,2026-01-07 10:32:52.703980,2026-01-07 10:32:52.704019,1
9,Leather Brown,06C37,leather-brown-06c37,#966042,"150, 96, 66","0, 36, 56, 41",warm,41.3,strong,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 06C37.,,1,2026-01-07 10:32:52.763160,2026-01-07 10:32:52.763208,1
10,Saddle Brown,06C39,saddle-brown-06c39,#754832,"117, 72, 50","0, 38, 57, 54",warm,31.36,strong,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 06C39.,,1,2026-01-07 10:32:52.895126,2026-01-07 10:32:52.895179,1
11,Mid Tan,06D43,mid-tan-06d43,#B97847,"185, 120, 71","0, 35, 61, 27",warm,51.09,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 06D43.,,1,2026-01-07 10:32:53.028838,2026-01-07 10:32:53.028882,1
12,Teak,06D45,teak-06d45,#7A3F2C,"122, 63, 44","0, 48, 63, 52",warm,29.09,strong,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 06D45.,,1,2026-01-07 10:32:53.183886,2026-01-07 10:32:53.183938,1
13,Beaver Brown,08B25,beaver-brown-08b25,#9B846D,"155, 132, 109","0, 14, 29, 39",warm,53.03,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 08B25.,,1,2026-01-07 10:32:53.285478,2026-01-07 10:32:53.285522,1
14,Bitter Chocolate,08B29,bitter-chocolate-08b29,#544039,"84, 64, 57","0, 23, 32, 67",warm,26.57,strong,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 08B29.,,1,2026-01-07 10:32:53.369446,2026-01-07 10:32:53.369489,1
15,Honeysuckle Cream,08C31,honeysuckle-cream-08c31,#F2D8B9,"242, 216, 185","0, 10, 23, 5",warm,86,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 08C31.,,1,2026-01-07 10:32:53.447399,2026-01-07 10:32:53.447441,1
16,Fudge,08C35,fudge-08c35,#D6A66C,"214, 166, 108","0, 22, 49, 16",warm,67.46,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 08C35.,,1,2026-01-07 10:32:53.512262,2026-01-07 10:32:53.512300,1
17,Creamy White,10B15,creamy-white-10b15,#F5F1DE,"245, 241, 222","0, 1, 9, 3",warm,94.31,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 10B15.,,1,2026-01-07 10:32:53.586441,2026-01-07 10:32:53.586481,1
18,Oatmeal,10B17,oatmeal-10b17,#D9CFC0,"217, 207, 192","0, 4, 11, 14",warm,81.59,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 10B17.,,1,2026-01-07 10:32:53.628660,2026-01-07 10:32:53.628694,1
19,Lizard Grey,10B21,lizard-grey-10b21,#9C9C93,"156, 156, 147","0, 0, 5, 38",cool,60.92,medium,A premium cool toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 10B21.,,1,2026-01-07 10:32:53.679060,2026-01-07 10:32:53.679102,1
20,Turtle Green,10B25,turtle-green-10b25,#7C8C74,"124, 140, 116","11, 0, 17, 45",cool,52.89,medium,A premium cool toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 10B25.,,1,2026-01-07 10:32:53.712235,2026-01-07 10:32:53.712270,1
21,Antique Gold,10D45,antique-gold-10d45,#CFA838,"207, 168, 56","0, 18, 72, 18",warm,65.96,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 10D45.,,1,2026-01-07 10:32:53.736386,2026-01-07 10:32:53.736421,1
22,Pale Primrose,10E49,pale-primrose-10e49,#F5E9BE,"245, 233, 190","0, 4, 22, 3",warm,91.16,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 10E49.,,1,2026-01-07 10:32:53.776777,2026-01-07 10:32:53.776850,1
23,Light Grape Fruit,10E50,light-grape-fruit-10e50,#F1E383,"241, 227, 131","0, 5, 45, 5",warm,87.47,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 10E50.,,1,2026-01-07 10:32:53.829279,2026-01-07 10:32:53.829326,1
24,Aspen Yellow,10E53,aspen-yellow-10e53,#FCD700,"252, 215, 0","0, 14, 100, 1",warm,81.31,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 10E53.,,1,2026-01-07 10:32:53.942122,2026-01-07 10:32:53.942171,1
25,Green Haze,12C33,green-haze-12c33,#B8CA9D,"184, 202, 157","8, 0, 22, 20",cool,76.44,medium,A premium cool toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 12C33.,,1,2026-01-07 10:32:54.099447,2026-01-07 10:32:54.099487,1
26,Ivy Green,12C39,ivy-green-12c39,#586A4E,"88, 106, 78","16, 0, 26, 58",cool,39.28,strong,A premium cool toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 12C39.,,1,2026-01-07 10:32:54.173692,2026-01-07 10:32:54.173746,1
27,Green Age,12D43,green-age-12d43,#949C4F,"148, 156, 79","5, 0, 49, 38",warm,58.33,medium,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 12D43.,,1,2026-01-07 10:32:54.257699,2026-01-07 10:32:54.260407,1
28,Green Earth,12D45,green-earth-12d45,#4F5941,"79, 89, 65","11, 0, 26, 65",warm,33.39,strong,A premium warm toned paint. Ideal for modern finishes. Matches international standard BS 4800 code 12D45.,,1,2026-01-07 10:32:54.307949,2026-01-07 10:32:54.307989,1
